UID,Combined Key,Study Identifier,Is Target Cell,Is Naturally Occuring,Object Index,Size,Area,Length,Width,Perimeter,Circularity,"Mean[Stitched[Tsf[:DAPI 377,447]]]","Mean[Stitched[Tsf[:GFP 469,525]]]","Mean[Stitched[Tsf[:CY5 628,685]]]","Peak[Stitched[Tsf[:DAPI 377,447]]]","Peak_2[Stitched[Tsf[:GFP 469,525]]]","Peak_2[Stitched[Tsf[:CY5 628,685]]]","Integral[Stitched[Tsf[:DAPI 377,447]]]","Integral_2[Stitched[Tsf[:GFP 469,525]]]","Integral_2[Stitched[Tsf[:CY5 628,685]]]","Mask Size_2[Stitched[Tsf[:GFP 469,525]]]","Mask Size_2[Stitched[Tsf[:CY5 628,685]]]","Mean_2[Stitched[Tsf[:GFP 469,525]]]","Mean_2[Stitched[Tsf[:CY5 628,685]]]",Mean[Stitched[Tsf[:Bright Field]]],Integral[Stitched[Tsf[:Bright Field]]],X Center Microns,Y Center Microns,ratio,"Peak[Stitched[Tsf[:GFP 469,525]]]","Peak[Stitched[Tsf[:CY5 628,685]]]",X Center Pixels,Y Center Pixels
64078,1A11095191204170421,191204_170421,1,0,1095,13.5,141,15.4,11.7,42.1,0.578,40617,14465,13849,63582,27522,34529,2112078,2484892,719455,30.5,12.5,9707,15988,33439,1738832,4800.5,3313.7,1.04,27522,34529,2913.144274,2010.909465
64079,1A11096191204170421,191204_170421,1,0,1096,13.8,149,14.7,12.9,43.5,0.771,35923,6058,2943,63536,12226,0,1975778,1090987,0,22.7,0,7473,0,35117,1931456,20236.6,3314,2.06,12226,5424,12280.41567,2011.091519
64080,1A11097191204170421,191204_170421,1,0,1097,32.5,559,50.9,14,119.1,0.0754,16795,16086,2160,32263,21352,11140,3459831,4272974,217354,39.6,10.3,13027,7495,12885,2654224,12060.7,3331.7,7.45,21352,6708,7318.937432,2021.832714
64081,1A11098191204170421,191204_170421,1,0,1098,16.4,209,17.9,14.9,53.4,0.688,28803,13029,6340,63121,39478,18508,2217864,1816385,391876,25.3,13.2,9926,8906,23313,1795072,22542.4,3317.7,2.06,39478,18508,13679.67159,2013.336854
64082,1A11099191204170421,191204_170421,1,0,1099,14,155,14.5,13.6,46.4,0.875,41433,21083,5649,63554,57474,14835,2361696,3375452,284142,30.6,10.7,12786,8610,35533,2025360,2511.1,3317.6,3.73,51138,14835,1523.840555,2013.276169
64083,1A11100191204170421,191204_170421,1,0,1100,8.6,51.6,11.5,5.7,28.5,0.248,14758,9707,6898,20192,14815,10168,280409,1643990,115072,25.5,7.3,8984,7671,16409,311776,3164.6,3319.3,1.41,14815,10168,1920.411701,2014.307809
64084,1A11101191204170421,191204_170421,1,0,1101,30.7,671,40,21.4,114.3,0.286,45646,9889,3146,62965,31508,12060,11274662,5334109,306195,43.9,14.5,10083,6959,33637,8308240,13996.3,3331.9,3.14,31508,12060,8493.540506,2021.954084
64085,1A11102191204170421,191204_170421,1,0,1102,9.9,76,10.8,9,30.9,0.696,41458,10973,2204,63555,51011,11007,1160831,1210651,30078,20.9,4.1,10005,7520,38711,1083920,2521,3324.8,4.98,46227,9088,1529.84829,2017.645469
64086,1A11103191204170421,191204_170421,1,0,1103,15.8,182,20.1,11.5,53.8,0.327,14004,57311,2031,19351,57740,0,938238,8992019,0,32.1,0,30689,0,44664,2992496,14875.7,3330.3,28.2,57740,2862,9027.197224,2020.983128
64087,1A11104191204170421,191204_170421,1,0,1104,15.8,190,18.6,13,51,0.486,41033,10838,2496,63607,20668,0,2872287,3283851,0,35.7,0,9022,0,27680,1937568,13656.6,3333.7,4.34,20668,6334,8287.396331,2023.046409
64088,1A11105191204170421,191204_170421,1,0,1105,19.2,285,21.5,16.8,68.7,0.612,17913,13474,3036,36792,26447,6836,1880908,2565561,30260,30.3,4.3,9830,6052,5899,619344,11712.1,3338.8,4.44,26447,6836,7107.392365,2026.141329
