UID,Combined Key,Study Identifier,Is Target Cell,Is Naturally Occuring,Object Index,Size,Area,Length,Width,Perimeter,Circularity,"Mean[Stitched[Tsf[:DAPI 377,447]]]","Mean[Stitched[Tsf[:GFP 469,525]]]","Mean[Stitched[Tsf[:CY5 628,685]]]","Peak[Stitched[Tsf[:DAPI 377,447]]]","Peak_2[Stitched[Tsf[:GFP 469,525]]]","Peak_2[Stitched[Tsf[:CY5 628,685]]]","Integral[Stitched[Tsf[:DAPI 377,447]]]","Integral_2[Stitched[Tsf[:GFP 469,525]]]","Integral_2[Stitched[Tsf[:CY5 628,685]]]","Mask Size_2[Stitched[Tsf[:GFP 469,525]]]","Mask Size_2[Stitched[Tsf[:CY5 628,685]]]","Mean_2[Stitched[Tsf[:GFP 469,525]]]","Mean_2[Stitched[Tsf[:CY5 628,685]]]",Mean[Stitched[Tsf[:Bright Field]]],Integral[Stitched[Tsf[:Bright Field]]],X Center Microns,Y Center Microns,ratio,"Peak[Stitched[Tsf[:GFP 469,525]]]","Peak[Stitched[Tsf[:CY5 628,685]]]",X Center Pixels,Y Center Pixels
62984,1A11191204170421,191204_170421,1,0,1,5.6,16.3,8.9,2.3,18.2,0.0701,11714,36711,627,13634,43298,0,70283,859888,0,15.7,0,15355,0,38944,233664,3671.2,0.3,58.6,43298,843,2227.837779,0.182054151
62985,1A12191204170421,191204_170421,1,0,2,15.8,193,18,13.7,50.1,0.577,15388,5462,963,22260,8323,0,1092556,340774,0,14.4,0,5875,0,50249,3567696,19098.5,8.7,5.67,8323,2575,11589.76896,5.279570374
62986,1A13191204170421,191204_170421,1,0,3,6.7,24.4,10.5,3,22.5,0.0785,14446,55693,15569,18013,55897,24914,130011,4686561,718355,23.3,17.3,32773,8869,16523,148704,1638.9,25.8,3.58,55795,24914,994.5530987,15.65665697
62987,1A14191204170421,191204_170421,1,0,4,12.3,86.9,18.5,6,45,0.104,12107,55238,8112,16264,55241,11721,387431,8896718,950808,27,22.2,43188,7258,11959,382672,1649.2,45.4,6.81,55239,11721,1000.80357,27.55086149
62988,1A15191204170421,191204_170421,1,0,5,23.9,443,27,20.9,77.2,0.598,20253,57390,3870,32265,57401,7384,3301252,17638808,229553,42.3,11.5,34586,6041,39835,6493104,16227.1,59.9,14.8,57400,7384,9847.283292,36.35014545
62989,1A16191204170421,191204_170421,1,0,6,5.3,19,7.5,3.2,17.3,0.19,10598,53728,7409,10998,54415,8685,74187,6802259,274959,25.6,11.9,35991,6706,37205,260432,15214.6,53.7,7.25,53838,8653,9232.855925,32.587693
62990,1A17191204170421,191204_170421,1,0,7,7.9,46.2,9.6,6.1,24.3,0.401,13059,55238,11776,18572,55238,16745,221996,6184861,758279,23.8,18.1,38415,8067,13180,224064,1657,58.1,4.69,55238,16745,1005.536936,35.25782054
62991,1A18191204170421,191204_170421,1,0,8,21.7,364,24.1,19.2,70.2,0.639,16048,56925,2558,21693,56927,0,2150375,15137833,0,38.8,0,34880,0,33317,4464528,16659.1,76.6,22.3,56926,3742,10109.43897,46.48449318
62992,1A19191204170421,191204_170421,1,0,9,15.6,171,20.7,10.5,54.2,0.259,21107,55743,5074,43508,55950,14819,1329732,7293085,180132,32.9,9.3,24392,8578,10795,680112,5459.7,84.2,11,55950,14819,3313.174417,51.09653166
62993,1A110191204170421,191204_170421,1,0,10,18.5,261,21.4,15.5,61.3,0.526,23738,52380,7034,38421,52934,12925,2278882,7782305,565908,30.6,15.3,29478,8574,34531,3314992,18671.7,103.3,7.45,52934,12925,11330.76886,62.6873126
62994,1A111191204170421,191204_170421,1,0,11,5.3,21.7,6.1,4.5,17.3,0.545,11601,23389,2621,13899,29710,0,92804,784772,0,15.6,0,11211,0,20710,165680,5792.1,117.8,8.92,29710,3379,3514.888647,71.48659655
62995,1A112191204170421,191204_170421,1,0,12,10.6,78.7,14.2,7.1,33.2,0.247,14439,54579,1696,19731,54928,0,418724,3903075,0,24.2,0,23513,0,36531,1059392,11184.1,122.6,32.2,54909,2454,6786.979871,74.39946297
62996,1A113191204170421,191204_170421,1,0,13,7.1,32.6,10.2,4.1,24.3,0.161,12341,7704,505,14341,14260,0,148091,1224697,0,22.4,0,9349,0,9935,119216,6386.3,138.4,15.2,9362,864,3875.47407,83.98764824
62997,1A114191204170421,191204_170421,1,0,14,22.6,394,26,19.3,73.9,0.547,17814,55858,4097,25946,56323,6738,2583067,13862409,222922,39.5,11.6,31012,5866,30591,4435632,5332.7,150.2,13.6,56323,6738,3236.105503,91.14844484
62998,1A115191204170421,191204_170421,1,0,15,12.2,86.9,18.3,6.1,49.5,0.109,12624,10748,413,16677,19200,0,403980,1634345,0,26,0,9786,0,5399,172752,5486.4,146.6,26,13489,813,3329.377095,88.96379503
62999,1A116191204170421,191204_170421,1,0,16,6.9,27.2,10.6,3.3,21.5,0.0961,12022,7091,244,14242,11605,0,120218,654782,0,18.8,0,6892,0,4715,47152,8950.4,147.5,29,8037,573,5431.477243,89.50995748
63000,1A117191204170421,191204_170421,1,0,17,8.1,51.6,8.9,7.4,26.2,0.683,10741,56992,5171,11993,56994,6478,204082,10814817,50574,28.5,5.6,46020,5619,40625,771872,17807.6,152.1,11,56992,6478,10806.39683,92.30145446
63001,1A118191204170421,191204_170421,1,0,18,28.8,584,38,19.6,97.4,0.266,19174,57262,6350,30650,57285,11406,4122369,21704138,1059325,46.7,23.1,35464,7621,35330,7596000,14194.8,181.1,9.02,57285,11406,8613.998612,109.9000224
63002,1A119191204170421,191204_170421,1,0,19,16.5,204,19.9,13,51.4,0.425,19710,13502,1426,31583,18881,0,1478242,2513024,0,29.4,0,10299,0,27228,2042096,18605.4,187,9.47,18881,2844,11290.53525,113.4804207
63003,1A120191204170421,191204_170421,1,0,20,6.6,32.6,8.3,5,19.6,0.368,12738,8224,402,16100,11493,0,152850,373583,0,15.2,0,6124,0,9543,114512,5314.1,192.7,20.4,10270,759,3224.818245,116.9394495
63004,1A121191204170421,191204_170421,1,0,21,22.9,407,25.8,20.1,75.7,0.609,19825,55324,14043,30084,55779,24057,2973703,18377519,2366610,42.4,25.9,35478,12326,38782,5817232,16657.5,204.6,3.94,55521,24057,10108.46802,124.1609309
63005,1A122191204170421,191204_170421,1,0,22,8.2,51.6,9.2,7.1,24.8,0.6,15631,53537,7678,22842,57187,11115,296982,2218265,169773,18.8,8.9,21963,7381,43646,829280,10847.3,199.6,6.97,57187,11115,6582.595538,121.126695
63006,1A123191204170421,191204_170421,1,0,23,26.8,448,38.8,14.7,104.8,0.144,25423,2667,577,61496,10551,0,4194851,184501,0,14.2,0,5952,0,24163,3986976,5300.7,236.5,4.62,10551,1874,3216.686564,143.5193556
63007,1A124191204170421,191204_170421,1,0,24,35.3,494,60.1,10.5,175.8,0.0304,17695,10230,520,28256,17252,0,3220402,4577303,0,53.8,0,8430,0,1399,254672,18374,241.6,19.7,17252,1151,11150.11205,146.6142761
63008,1A125191204170421,191204_170421,1,0,25,22.9,342,32.3,13.5,89.1,0.175,35951,4741,994,62957,15300,0,4529776,517249,0,17.7,0,6990,0,22041,2777120,5270.2,252.6,4.77,15300,7295,3198.177888,153.289595
63009,1A126191204170421,191204_170421,1,0,26,21.9,315,30.7,13.1,79,0.18,17271,20509,1671,23771,27714,0,2003481,4169879,0,37.9,0,12374,0,37049,4297728,22328.1,257.5,12.3,27714,3994,13549.62538,156.2631461
63010,1A127191204170421,191204_170421,1,0,27,9.5,57,13.8,5.3,34.6,0.147,12523,9255,631,15724,16555,0,262973,819235,0,18.3,0,8624,0,1340,28144,18415.3,248.4,14.7,11947,1094,11175.17462,150.7408369
63011,1A128191204170421,191204_170421,1,0,28,14.9,57,27.2,2.7,51.2,0.00966,11415,12153,396,13155,15208,0,239717,586431,0,20.8,0,9022,0,1693,35552,18383.7,247.7,30.7,15208,663,11155.99841,150.3160439
63012,1A129191204170421,191204_170421,1,0,29,26.3,524,31.5,21.2,85.2,0.451,28748,56933,5726,62651,57092,14498,5548435,15454449,800372,39.9,18.2,34041,8606,38019,7337600,16282.1,259.4,9.94,57092,14498,9880.659593,157.4161557
63013,1A130191204170421,191204_170421,1,0,30,16,147,24.4,7.6,58.8,0.0978,12325,15437,611,15135,49639,0,665554,4552216,0,30.8,0,17049,0,1424,76896,18430.5,260.9,25.3,19425,1267,11184.39861,158.3264265
63014,1A131191204170421,191204_170421,1,0,31,8.2,48.9,10.4,6,26.2,0.325,10733,55594,1989,11744,55865,0,193196,8674757,0,26.4,0,43374,0,31605,568896,18426.9,284.3,28,55863,2882,11182.21398,172.5266503
63015,1A132191204170421,191204_170421,1,0,32,7.1,29.9,10.5,3.6,23.9,0.12,11962,55465,3348,14458,55471,0,131578,6394983,0,25.7,0,34016,0,1840,20240,18446.5,290.8,16.6,55469,3959,11194.10808,176.4711569
63016,1A133191204170421,191204_170421,1,0,33,5.7,24.4,6.8,4.6,19.6,0.461,10640,55943,62959,11354,55944,62960,95764,9153658,9727369,26.1,25.9,46702,50141,7488,67392,431,295.2,0.889,55943,62959,261.5488349,179.1412844
63017,1A134191204170421,191204_170421,1,0,34,16.1,196,19.5,12.7,53.4,0.424,14228,53782,7238,19749,55258,10053,1024413,14411618,541377,36.9,16.5,36858,7218,21919,1578160,14208.9,339.9,7.43,53915,10053,8622.555082,206.2673529
63018,1A135191204170421,191204_170421,1,0,35,21.5,244,33.8,9.2,107,0.0739,10636,54253,10256,11942,54850,32681,957254,27013690,3711769,45.7,41.2,49295,8859,2582,232400,932.2,383.3,5.29,54513,32681,565.6979673,232.60452
63019,1A136191204170421,191204_170421,1,0,36,38.2,1.06E+03,48.7,27.6,129.8,0.321,30128,54772,8205,63511,56021,25655,11719960,32588788,2687496,56.4,28.3,37033,12052,32483,12636032,14186.6,382.6,6.68,56020,25655,8609.022509,232.179727
63020,1A137191204170421,191204_170421,1,0,37,30.1,622,41,19.3,104.4,0.222,11861,54806,4741,13981,55780,6028,2716066,40006510,361523,51.5,18,54579,5239,6837,1565664,2615.6,405,11.6,54853,6028,1587.255528,245.7731036
63021,1A138191204170421,191204_170421,1,0,38,8.1,40.7,11.8,4.4,28.5,0.141,11239,49744,2950,14057,52478,0,168588,3412796,0,20.8,0,28440,0,13708,205616,692.7,412.3,16.9,52478,3734,420.3593456,250.2030879
63022,1A139191204170421,191204_170421,1,0,39,9,62.5,9.7,8.2,27.6,0.705,16709,57146,7926,24474,57147,12089,384297,4406960,203034,23.8,9.5,27037,7809,26208,602784,5460.7,421.6,7.21,57147,12089,3313.781259,255.8467666
63023,1A140191204170421,191204_170421,1,0,40,5,19,5.9,4.1,14.9,0.476,11600,51072,3408,12809,52478,0,81199,1592591,0,14.6,0,26108,0,9561,66928,688.3,421.6,15,52478,4213,417.6892414,255.8467666
63024,1A141191204170421,191204_170421,1,0,41,6.8,19,11.5,2.1,22.5,0.034,10218,54220,6221,10731,54326,9223,71526,9632478,745815,27,22.2,46534,6015,2229,15600,949.9,424.2,8.72,54313,6794,576.4390679,257.4245693
63025,1A142191204170421,191204_170421,1,0,42,15.6,190,17.3,14,54.7,0.654,31226,2328,1094,56297,4045,0,2185823,7978,0,2.3,0,3989,0,11313,791920,18469.2,437.3,2.13,4478,2532,11207.88339,265.3742672
63026,1A143191204170421,191204_170421,1,0,43,19.3,288,21.9,16.7,63.3,0.582,18104,56929,4210,25539,56930,6505,1918999,11304952,162734,34.8,10.1,32485,5612,35230,3734416,5250.8,441.7,13.5,56930,6505,3186.405156,268.0443947
63027,1A144191204170421,191204_170421,1,0,44,15.8,84.2,27.8,3.9,61.7,0.0192,13094,10786,1004,16462,16510,0,405911,972830,0,26.8,0,8386,0,2237,69360,18442.5,446.4,10.7,16317,1852,11191.68071,270.8965764
63028,1A145191204170421,191204_170421,1,0,45,6.4,13.6,11.2,1.5,20.6,0.019,10622,52857,2499,11497,55011,0,53111,2658947,0,20.7,0,24394,0,9587,47936,677.6,440,21.2,54281,2827,411.1960337,267.0127545
63029,1A146191204170421,191204_170421,1,0,46,15,125,23.1,6.9,50.9,0.0888,17051,6807,1149,25931,12346,0,784365,720489,0,22,0,8187,0,2527,116240,18452.5,452.3,5.92,11723,2040,11197.74913,274.4769747
63030,1A147191204170421,191204_170421,1,0,47,22,375,25,19.1,71,0.579,22080,56375,4748,38177,57415,9135,3047086,12454896,378337,36.5,14.1,32604,6756,37473,5171264,16036.6,462.4,11.9,57415,9135,9731.679921,280.6061311
63031,1A148191204170421,191204_170421,1,0,48,12.6,59.7,21.8,3.5,45.8,0.0258,12097,55961,3063,14926,56011,0,266133,4248190,0,24.5,0,28899,0,9061,199344,660.2,468.2,18.3,56009,3809,400.6369856,284.1258447
63032,1A149191204170421,191204_170421,1,0,49,33.5,369,59.1,8,133.7,0.0181,21571,12054,1030,52649,16234,0,2933668,3277671,0,41.8,0,10148,0,1572,213808,18420.3,476.1,11.7,16234,1837,11178.20882,288.9199373
63033,1A150191204170421,191204_170421,1,0,50,43.3,831,72,14.7,158.8,0.0417,24172,2521,579,39599,7857,0,7396613,155335,0,10.6,0,5178,0,31684,9695344,11577.6,501.4,4.36,7857,2125,7025.772137,304.2731707
63034,1A151191204170421,191204_170421,1,0,51,10.9,76,15.5,6.2,34.6,0.163,15823,7796,830,26125,58104,0,443034,2618959,0,24.6,0,15138,0,1476,41328,18288.8,472.3,9.39,10151,1463,11098.40912,286.6139181
63035,1A152191204170421,191204_170421,1,0,52,18.2,239,23.4,13,61.7,0.306,13530,46355,1059,19261,57062,0,1190608,9254791,0,37.3,0,23730,0,38566,3393840,3290,483,43.8,57062,1742,1996.509668,293.1071828
63036,1A153191204170421,191204_170421,1,0,53,40.5,532,71.5,9.5,212,0.0176,19941,8194,919,41858,58102,0,3908443,4652340,0,57.8,0,8600,0,1548,303424,18338.7,490.8,8.92,12091,1833,11128.69053,297.8405907
63037,1A154191204170421,191204_170421,1,0,54,6.7,21.7,10.9,2.5,21.9,0.0547,10512,56085,2922,11470,56119,0,84096,2370415,0,17.6,0,27563,0,7934,63472,651.3,482.4,19.2,56096,3425,395.2360932,292.7430745
63038,1A155191204170421,191204_170421,1,0,55,16,177,21.5,10.4,54.7,0.235,16527,50798,1267,23826,57599,0,1074248,5581954,0,28.6,0,24699,0,40776,2650416,3841.7,488.9,40.1,57599,2141,2331.304313,296.6875811
63039,1A156191204170421,191204_170421,1,0,56,6.9,27.2,10.4,3.3,21.9,0.101,12245,56155,4069,14908,56156,0,122451,2943179,0,19.3,0,28575,0,4974,49744,635.3,503.1,13.8,56156,5419,385.5266237,305.3048109
63040,1A157191204170421,191204_170421,1,0,57,6.2,19,9.9,2.4,18.6,0.0612,11481,56135,3053,12828,56138,0,80366,2567279,0,18.5,0,27605,0,6567,45968,625.7,513.7,18.4,56136,3866,379.700942,311.7373909
63041,1A158191204170421,191204_170421,1,0,58,8.5,54.3,10.1,6.9,25.2,0.467,11099,4005,914,12067,4532,0,221978,37866,0,5.7,0,4207,0,60122,1202432,6598.9,536.4,4.38,4558,1408,4004.488647,325.5128217
63042,1A159191204170421,191204_170421,1,0,59,7.3,38,9.5,5.1,22.9,0.291,11019,57158,2344,12254,57326,0,154260,5131225,0,26,0,26314,0,26058,364816,9158.1,550.4,24.4,57326,2671,5557.518294,334.008682
63043,1A160191204170421,191204_170421,1,0,60,49.8,1.25E+03,79.6,20,233.4,0.063,36565,3757,1132,62842,26514,12141,16820043,3078078,49692,38.4,4.7,8319,8282,18899,8693344,5437.5,602.3,3.32,26514,12141,3299.702529,365.5040501
63044,1A161191204170421,191204_170421,1,0,61,27.5,448,41.2,13.8,148,0.113,13361,55938,6518,19667,56150,10752,2204533,20211773,1080519,47.3,28.3,37018,6549,5823,960720,561.7,567.6,8.58,56044,10752,340.863064,344.4464533
63045,1A162191204170421,191204_170421,1,0,62,14.5,152,18.8,10.3,46.4,0.3,11934,57239,32044,14127,57265,38317,668300,11018540,4622176,34.7,31,32218,17642,13126,735040,2474.4,571.1,1.79,57265,38317,1501.56946,346.5704184
63046,1A163191204170421,191204_170421,1,0,63,8.4,54.3,9.2,7.5,26.6,0.658,11231,55842,40040,12795,55853,63226,224623,4173885,1644684,19.3,17,39751,20305,8168,163360,505.3,572.5,1.39,55850,63226,306.6371839,347.4200045
63047,1A164191204170421,191204_170421,1,0,64,12.1,106,15.4,8.8,49.1,0.327,13351,55883,10733,20011,55933,27513,520708,5096507,687085,21.6,16.1,38034,9412,5612,218864,518.2,573.3,5.21,55933,19657,314.4654437,347.9054822
63048,1A165191204170421,191204_170421,1,0,65,7.7,38,11,4.4,26.2,0.162,11434,51651,7303,14392,55825,9130,160077,4131223,211083,20.1,10.8,38610,6396,7997,111952,494.5,582,7.07,55800,9130,300.083292,353.1850526
63049,1A166191204170421,191204_170421,1,0,66,7,29.9,10.4,3.6,23.3,0.122,11924,1419,343,14930,0,0,131164,0,0,0,0,0,0,19469,214160,11634,588.4,4.14,2239,746,7059.998017,357.0688745
63050,1A167191204170421,191204_170421,1,0,67,17,209,21.6,12.4,54.3,0.329,13971,50304,1085,18502,57504,0,1075801,6961377,0,31.6,0,24686,0,43304,3334400,3834.1,611,46.3,57504,1670,2326.692315,370.7836205
63051,1A168191204170421,191204_170421,1,0,68,21.5,337,27.3,15.7,70.6,0.331,12848,56530,5263,16166,56538,6901,1593197,26662440,425978,42.4,16.8,52279,5756,7123,883312,2619,644.2,10.7,56532,6901,1589.31879,390.9309465
63052,1A169191204170421,191204_170421,1,0,69,38.6,1.02E+03,52.3,24.9,154.4,0.228,48970,3867,445,61359,10420,0,18461752,1525334,0,31.7,0,5649,0,22819,8602688,5095.9,683.7,8.68,10420,1844,3092.405354,414.9014097
63053,1A170191204170421,191204_170421,1,0,70,38.4,695,62.6,14.1,165.5,0.051,33549,2593,304,63019,7136,0,8588444,404767,0,17.2,0,5124,0,21245,5438832,12046.7,673.9,8.54,7136,956,7310.441646,408.9543075
63054,1A171191204170421,191204_170421,1,0,71,5.7,24.4,6.6,4.7,17.3,0.518,12030,22101,3659,14163,28732,0,108267,613132,0,13.7,0,11354,0,16526,148736,10378.9,677.5,6.04,28732,4308,6298.350818,411.1389573
63055,1A172191204170421,191204_170421,1,0,72,44.2,1.11E+03,67.6,20.8,161.9,0.0946,43640,2002,399,63104,6983,0,17761632,89184,0,8.8,0,4955,0,31596,12859696,11992.7,699.2,5.02,6983,5294,7277.672186,424.3075408
63056,1A173191204170421,191204_170421,1,0,73,49.9,1.83E+03,62.7,37.1,179.4,0.35,26622,1646,580,42981,5800,0,17943147,37408,0,5.3,0,4676,0,36870,24850528,18553.6,713.6,2.84,5800,2226,11259.10084,433.0461401
63057,1A174191204170421,191204_170421,1,0,74,48.1,1.46E+03,69.5,26.7,178.1,0.148,48766,2310,452,61759,8555,0,26235963,302847,0,15.4,0,5222,0,29809,16037008,5026.8,737.5,5.11,8555,2808,3050.472583,447.5497874
63058,1A175191204170421,191204_170421,1,0,75,41.6,1.09E+03,60.2,23.1,153.7,0.147,48628,1914,480,63002,0,0,19548321,0,0,0,0,0,0,31146,12520704,11947.1,731.9,3.99,4897,5147,7250.000198,444.1514433
63059,1A176191204170421,191204_170421,1,0,76,45,1.15E+03,68.9,21.2,182.6,0.0947,46526,5296,454,62378,14674,0,19633998,2615068,0,39.7,0,8328,0,21587,9109696,4886.7,739,11.7,14302,2253,2965.454041,448.4600582
63060,1A177191204170421,191204_170421,1,0,77,23.1,418,23.6,22.6,75.3,0.914,15915,57241,3670,23357,57339,5967,2450920,17973206,108268,41.9,8.3,35450,5413,37647,5797648,14221.6,718.1,15.6,57338,5967,8630.261973,435.7769523
63061,1A178191204170421,191204_170421,1,0,78,27,524,34.9,19.1,100.1,0.302,11845,51082,4008,14857,53758,5372,2286034,33322532,5372,48.7,1.6,49809,5372,9072,1750832,3615.9,720.3,12.7,51086,5532,2194.279425,437.1120161
63062,1A179191204170421,191204_170421,1,0,79,43,1.46E+03,43.3,42.8,152.5,0.978,36252,2827,1716,57935,8905,5764,19431022,684741,5764,24.7,1.6,5035,5764,16805,9007504,18225.6,763.8,1.65,8905,5764,11060.05672,463.509868
63063,1A180191204170421,191204_170421,1,0,80,31.1,749,34.3,27.8,107.7,0.659,45042,3498,2095,62726,8110,0,12431499,470601,0,18.6,0,5006,0,15650,4319536,18559.6,760.4,1.67,8110,6738,11262.74189,461.4465876
63064,1A181191204170421,191204_170421,1,0,81,45.9,1.63E+03,51.2,40.6,195.2,0.627,50242,3702,1226,61605,11030,5828,30195508,1518590,5828,35.8,1.6,5955,5828,22336,13423728,5124.7,777.8,3.02,11030,6659,3109.8824,472.0057284
63065,1A182191204170421,191204_170421,1,0,82,40.8,1.17E+03,54.2,27.4,151.5,0.256,46259,3591,841,61683,9728,0,19891274,904555,0,30.3,0,5549,0,23361,10045120,5076.6,777.7,4.27,9728,2905,3080.693307,471.9450436
63066,1A183191204170421,191204_170421,1,0,83,47.4,1.25E+03,73.1,21.8,176.4,0.0892,40161,3015,2741,62757,8768,21888,18514402,601739,433080,31.1,15.4,4853,8662,17095,7880800,18525.4,791.1,1.1,8768,21888,11241.9879,480.0767957
63067,1A184191204170421,191204_170421,1,0,84,31.4,720,39.6,23.2,111.2,0.342,45106,2822,849,61564,7529,0,11953089,400750,0,19.7,0,5416,0,21328,5652016,5032.8,782.5,3.33,7643,2680,3054.113634,474.85791
63068,1A185191204170421,191204_170421,1,0,85,44.5,1.24E+03,64.7,24.4,155.1,0.143,53207,3613,1294,62386,14097,8056,24315618,1353797,96485,37.2,7.9,5617,6030,22895,10462944,11828.1,789,2.79,10642,8056,7177.786019,478.8024166
63069,1A186191204170421,191204_170421,1,0,86,25.9,451,35.8,16,90.6,0.201,39690,3032,1373,60555,6313,0,6588581,318015,0,25.6,0,4893,0,12726,2112592,18471.5,804.4,2.21,6313,3296,11209.27913,488.1478631
63070,1A187191204170421,191204_170421,1,0,87,30.4,714,33.9,26.8,111.3,0.627,36724,2648,478,61181,12002,0,9658483,240693,0,17.8,0,6172,0,22180,5833392,5279,817.7,5.54,11559,4929,3203.518096,496.2189304
63071,1A188191204170421,191204_170421,1,0,88,27.4,576,31.3,23.4,97.1,0.557,50071,3850,568,57247,7989,0,10614966,857428,0,26.1,0,5793,0,19795,4196568,17965.2,845.6,6.78,7989,2316,10902.0351,513.1499664
63072,1A189191204170421,191204_170421,1,0,89,12.3,106,16.5,8.1,40.7,0.242,13907,1507,505,20651,0,0,542380,0,0,0,0,0,0,20182,787104,4230.6,837.5,2.98,2738,1312,2567.305107,508.2345044
63073,1A190191204170421,191204_170421,1,0,90,31.3,701,40.7,21.9,109.8,0.291,18372,1145,234,22857,0,0,4739942,0,0,0,0,0,0,41102,10604400,18046.4,846.9,4.9,2534,859,10951.31066,513.9388678
63074,1A191191204170421,191204_170421,1,0,91,26.3,521,31.4,21.1,90.8,0.451,26243,2443,1148,44569,5831,0,5038729,90787,0,8.6,0,4778,0,21423,4113136,4243.6,859.9,2.13,5831,3202,2575.194051,521.827881
63075,1A192191204170421,191204_170421,1,0,92,43.9,1.06E+03,67.9,20,164.7,0.0865,45849,5723,867,62483,18959,0,17972868,2368830,0,40.3,0,9041,0,21277,8340672,4949.9,867.2,6.6,18959,3821,3003.806445,526.2578653
63076,1A193191204170421,191204_170421,1,0,93,13.2,130,16,10.4,43.9,0.425,14513,4796,1035,19680,6304,0,696624,214061,0,12.2,0,5221,0,35678,1712544,17404.1,855.3,4.63,6304,1712,10561.53614,519.036384
63077,1A194191204170421,191204_170421,1,0,94,34.7,855,45.2,24.1,120.1,0.283,43159,2853,426,62316,12156,0,13595220,1121826,0,22.5,0,7790,0,31848,10032096,5002.5,864.8,6.7,10348,2695,3035.726326,524.8014321
63078,1A195191204170421,191204_170421,1,0,95,41.6,1.29E+03,51.3,32,149.5,0.389,44939,3835,730,57853,12138,0,21300985,1780631,0,33.2,0,6770,0,25573,12121676,17944.5,879.1,5.25,10778,3670,10889.47348,533.4793466
63079,1A196191204170421,191204_170421,1,0,96,22.7,394,26.5,18.9,79.6,0.51,16919,1544,400,27864,0,0,2453282,0,0,0,0,0,0,37249,5401040,4267.5,865.2,3.86,2943,2214,2589.697571,525.044171
63080,1A197191204170421,191204_170421,1,0,97,9.9,70.6,13,6.9,36.5,0.286,11424,631,173,13218,0,0,297018,0,0,0,0,0,0,48717,1266640,4185.6,866.3,3.66,1161,669,2539.997224,525.7117028
63081,1A198191204170421,191204_170421,1,0,98,12.9,128,15,10.8,40.2,0.517,24411,735,1242,46006,0,0,1147320,0,0,0,0,0,0,38500,1809488,4222.9,869.4,0.592,1768,4625,2562.632424,527.5929291
63082,1A199191204170421,191204_170421,1,0,99,20.4,326,22.1,18.8,67.3,0.719,22251,54758,2825,44553,57752,5315,2670103,10702844,5315,35.2,1.6,29980,5315,32524,3902864,12069,878,19.4,57752,5539,7323.974219,532.8118147
63083,1A1100191204170421,191204_170421,1,0,100,28.6,635,31.7,25.5,102.1,0.648,17711,1527,296,25291,0,0,4144363,0,0,0,0,0,0,33903,7933328,4287.7,886.4,5.15,3008,1005,2601.955776,537.9093309
63084,1A1101191204170421,191204_170421,1,0,101,18.9,236,26.4,11.4,71.2,0.187,14077,12493,2458,19755,17976,0,1224690,2634995,0,34.8,0,10057,0,35147,3057792,2762.9,879.7,5.08,17976,4406,1676.643332,533.8434549
63085,1A1102191204170421,191204_170421,1,0,102,17.6,204,24.7,10.5,61.3,0.18,31903,49296,3258,63500,57450,11204,2392724,6647479,118284,34.8,7.6,21306,7886,22033,1652448,3883,878.4,15.1,57400,11204,2356.366882,533.0545536
63086,1A1103191204170421,191204_170421,1,0,103,17.8,215,24.3,11.2,65.6,0.213,14005,3083,479,19309,7439,0,1106395,132144,0,9.2,0,5506,0,23761,1877152,4206.3,881.1,6.44,7439,1366,2552.55885,534.6930409
63087,1A1104191204170421,191204_170421,1,0,104,28.7,608,35.7,21.7,127.1,0.371,14632,2853,468,19650,18513,0,3277566,1638873,0,26.9,0,8362,0,17016,3811632,4175.5,892.1,6.09,7621,1634,2533.868121,541.3683598
63088,1A1105191204170421,191204_170421,1,0,105,22.7,334,32.1,13.3,83.4,0.171,13142,2588,428,16091,5721,0,1616510,178461,0,12.2,0,4353,0,20377,2506336,4257.1,897,6.05,5603,942,2583.386415,544.3419109
63089,1A1106191204170421,191204_170421,1,0,106,35.2,891,45.6,24.9,143.6,0.298,19920,1540,386,31713,0,0,6533861,0,0,0,0,0,0,32300,10594400,4323,899.1,3.99,3300,1166,2623.377293,545.61629
63090,1A1107191204170421,191204_170421,1,0,107,21.5,350,25.7,17.4,80.9,0.459,18298,2832,879,36026,6958,0,2360409,80953,0,7.9,0,4762,0,14087,1817232,4161.9,906.7,3.22,6958,1908,2525.615072,550.2283285
63091,1A1108191204170421,191204_170421,1,0,108,15.6,182,19,12.2,59.4,0.414,15462,2927,630,21077,9067,0,1035962,77116,0,7.2,0,5508,0,19345,1296096,4270.2,904.5,4.65,9067,2736,2591.336044,548.8932647
63092,1A1109191204170421,191204_170421,1,0,109,46.2,1.40E+03,65.2,27.3,172.8,0.176,47811,4014,835,59592,14603,6280,24622814,2397878,6280,40.1,1.6,7137,6280,20378,10494912,17913.5,924,4.81,13884,6280,10870.66138,560.7267845
63093,1A1110191204170421,191204_170421,1,0,110,16.5,212,17.7,15.2,53.4,0.741,18944,1393,233,24728,0,0,1477620,0,0,0,0,0,0,30866,2407536,4287.7,907.8,5.98,2483,917,2601.955776,550.8958604
63094,1A1111191204170421,191204_170421,1,0,111,21.2,315,28.2,14.2,76.3,0.254,25276,2285,460,54668,13587,0,2931983,866317,0,18.8,0,9024,0,25407,2947264,4348,920.4,4.97,7860,1919,2638.548339,558.5421347
